state,x,y
Andhra Pradesh,-74,-161
Arunachal Pradesh,208,100
Assam,181,66
Bihar,55,52
Chhattisgarh,-21,-41
Goa,-168,-162
Gujarat,-219,-18
Haryana,-125,123
Himachal Pradesh,-109,198
Jharkhand,36,10
Karnataka,-142,-170
Kerala,-141,-253
Madhya Pradesh,-121,-7
Maharashtra,-152,-83
Manipur,216,26
Meghalaya,151,40
Mizoram,196,-4
Nagaland,228,55
Odisha,30,-58
Punjab,-142,155
Rajasthan,-199,68
Sikkim,113,94
Tamil Nadu,-82,-245
Telangana,-76,-105
Tripura,170,4
Uttar Pradesh,-63,88
Uttarakhand,-76,149
West Bengal,93,-7
